------Początek: 2025-06-04 22:16:11------
Time: 22:16:12.387 | Thread: 10 | Pos: (355,52, 321,46) | Vel: (-4,83, -3,84)
Time: 22:16:12.387 | Thread: 10 | Pos: (243,95, 365,45) | Vel: (1,19, -3,59)
Time: 22:16:12.387 | Thread: 10 | Pos: (283,36, 379,83) | Vel: (1,68, 4,44)
Time: 22:16:12.387 | Thread: 10 | Pos: (355,52, 321,46) | Vel: (-4,83, -3,84)
Time: 22:16:12.387 | Thread: 10 | Pos: (243,95, 365,45) | Vel: (1,19, -3,59)
Time: 22:16:12.387 | Thread: 10 | Pos: (283,36, 379,83) | Vel: (1,68, 4,44)
Time: 22:16:12.387 | Thread: 10 | Pos: (355,52, 321,46) | Vel: (-4,83, -3,84)
Time: 22:16:12.387 | Thread: 10 | Pos: (243,95, 365,45) | Vel: (1,19, -3,59)
Time: 22:16:12.387 | Thread: 10 | Pos: (283,36, 379,83) | Vel: (1,68, 4,44)
Time: 22:16:12.387 | Thread: 10 | Pos: (355,52, 321,46) | Vel: (-4,83, -3,84)
Time: 22:16:12.387 | Thread: 10 | Pos: (243,95, 365,45) | Vel: (1,19, -3,59)
Time: 22:16:12.488 | Thread: 10 | Pos: (293,60, 357,47) | Vel: (1,68, -4,44)
Time: 22:16:12.488 | Thread: 10 | Pos: (326,07, 298,03) | Vel: (-4,83, -3,84)
Time: 22:16:12.488 | Thread: 10 | Pos: (251,22, 343,53) | Vel: (1,19, -3,59)
Time: 22:16:12.488 | Thread: 10 | Pos: (293,60, 357,47) | Vel: (1,68, -4,44)
Time: 22:16:12.488 | Thread: 10 | Pos: (326,07, 298,03) | Vel: (-4,83, -3,84)
Time: 22:16:12.488 | Thread: 10 | Pos: (251,22, 343,53) | Vel: (1,19, -3,59)
Time: 22:16:12.488 | Thread: 10 | Pos: (293,60, 357,47) | Vel: (1,68, -4,44)
Time: 22:16:12.488 | Thread: 10 | Pos: (326,07, 298,03) | Vel: (-4,83, -3,84)
Time: 22:16:12.488 | Thread: 10 | Pos: (251,22, 343,53) | Vel: (1,19, -3,59)
Time: 22:16:12.488 | Thread: 10 | Pos: (293,60, 357,47) | Vel: (1,68, -4,44)
Time: 22:16:12.488 | Thread: 10 | Pos: (326,07, 298,03) | Vel: (-4,83, -3,84)
Time: 22:16:12.488 | Thread: 10 | Pos: (251,22, 343,53) | Vel: (1,19, -3,59)
Time: 22:16:12.488 | Thread: 10 | Pos: (293,60, 357,47) | Vel: (1,68, -4,44)
Time: 22:16:12.488 | Thread: 10 | Pos: (326,07, 298,03) | Vel: (-4,83, -3,84)
Time: 22:16:12.488 | Thread: 10 | Pos: (251,22, 343,53) | Vel: (1,19, -3,59)
Time: 22:16:12.488 | Thread: 10 | Pos: (293,60, 357,47) | Vel: (1,68, -4,44)
Time: 22:16:12.488 | Thread: 10 | Pos: (326,07, 298,03) | Vel: (-4,83, -3,84)
Time: 22:16:12.488 | Thread: 10 | Pos: (251,22, 343,53) | Vel: (1,19, -3,59)
Time: 22:16:12.488 | Thread: 10 | Pos: (293,60, 357,47) | Vel: (1,68, -4,44)
