------Początek: 2025-06-04 22:12:30------
Time: 22:12:31.305 | Pos: (331,68, 278,35) | Vel: (-3,74, -5,07)
Time: 22:12:31.305 | Pos: (262,79, 247,58) | Vel: (0,24, 0,74)
Time: 22:12:31.305 | Pos: (363,56, 294,32) | Vel: (2,15, 1,92)
Time: 22:12:31.305 | Pos: (331,68, 278,35) | Vel: (-3,74, -5,07)
Time: 22:12:31.305 | Pos: (262,79, 247,58) | Vel: (0,24, 0,74)
Time: 22:12:31.305 | Pos: (363,56, 294,32) | Vel: (2,15, 1,92)
Time: 22:12:31.305 | Pos: (331,68, 278,35) | Vel: (-3,74, -5,07)
Time: 22:12:31.305 | Pos: (262,79, 247,58) | Vel: (0,24, 0,74)
Time: 22:12:31.305 | Pos: (363,56, 294,32) | Vel: (2,15, 1,92)
Time: 22:12:31.305 | Pos: (331,68, 278,35) | Vel: (-3,74, -5,07)
Time: 22:12:31.305 | Pos: (262,79, 247,58) | Vel: (0,24, 0,74)
Time: 22:12:31.305 | Pos: (363,56, 294,32) | Vel: (2,15, 1,92)
Time: 22:12:31.305 | Pos: (331,68, 278,35) | Vel: (-3,74, -5,07)
Time: 22:12:31.305 | Pos: (262,79, 247,58) | Vel: (0,24, 0,74)
Time: 22:12:31.405 | Pos: (374,52, 304,12) | Vel: (2,15, 1,92)
Time: 22:12:31.405 | Pos: (308,88, 247,43) | Vel: (-3,74, -5,07)
Time: 22:12:31.405 | Pos: (264,25, 252,09) | Vel: (0,24, 0,74)
Time: 22:12:31.405 | Pos: (374,52, 304,12) | Vel: (2,15, 1,92)
Time: 22:12:31.405 | Pos: (308,88, 247,43) | Vel: (-3,74, -5,07)
Time: 22:12:31.405 | Pos: (264,25, 252,09) | Vel: (0,24, 0,74)
Time: 22:12:31.405 | Pos: (374,52, 304,12) | Vel: (2,15, 1,92)
Time: 22:12:31.405 | Pos: (308,88, 247,43) | Vel: (-3,74, -5,07)
Time: 22:12:31.405 | Pos: (264,25, 252,09) | Vel: (0,24, 0,74)
Time: 22:12:31.405 | Pos: (374,52, 304,12) | Vel: (2,15, 1,92)
Time: 22:12:31.405 | Pos: (308,88, 247,43) | Vel: (-3,74, -5,07)
Time: 22:12:31.405 | Pos: (264,25, 252,09) | Vel: (0,24, 0,74)
